Species,Class,therm,common_name,rec,neo,mal,log_bm,log_pl,log_rec,Subclade
Nymphicus_hollandicus,Aves,endothermic,Cockatiel,70,8,7,4.54976317760395,4.5820756277106,4.24849524204936,Psittaciformes
Octodon_degus,Mammalia,endothermic,Degu,25,4,4,5.34710753133014,5.4314492727693,3.2188758248682,Rodentia
Oryctolagus_cuniculus,Mammalia,endothermic,Domestic rabbit,155,28,22,7.57983202911921,5.3837608483958,5.04342511691925,Lagomorpha
Oryx_leucoryx,Mammalia,endothermic,Arabian oryx,27,2,1,11.3816771775174,6.28124735943262,3.29583686600433,Cetartiodactyla
Ovis_canadensis,Mammalia,endothermic,Big horn sheep,30,2,0,11.2204974828245,6.26716787962577,3.40119738166216,Cetartiodactyla
Oxyura_jamaicensis,Aves,endothermic,Ruddy duck,34,2,1,6.41042156188435,4.89814566971351,3.52636052461616,Anseriformes
Padda_oryzivora,Aves,endothermic,Java sparrow,35,4,1,3.21084365357109,5.44619413457424,3.55534806148941,Passeroidea
Pan_troglodytes,Mammalia,endothermic,Chimpanzee,26,10,2,10.6572593547967,5.66814559849383,3.25809653802148,Primates
Panthera_leo,Mammalia,endothermic,Masai lion,60,10,8,11.9922548478528,5.88003272203068,4.0943445622221,Carnivora
Panthera_onca,Mammalia,endothermic,Jaguar,22,10,9,11.5129254649702,5.87514764577007,3.09104245335832,Carnivora
Panthera_pardus,Mammalia,endothermic,Leopard,20,6,2,10.9150830105551,5.86730307238987,2.99573227355399,Carnivora
Panthera_tigris,Mammalia,endothermic,White bengal tiger,71,17,12,11.9988270497088,5.8766602266442,4.26267987704132,Carnivora
Panthera_uncia,Mammalia,endothermic,Snow leopard,33,12,10,10.6957331823405,5.86946646790375,3.49650756146648,Carnivora
Pantherophis_guttatus,Reptilia,ectothermic,Corn snake,67,23,16,7.51207124645618,5.1144611620799,4.20469261939097,Colubridae
Papio_hamadryas,Mammalia,endothermic,Hamadryas baboon,20,3,3,9.6139504276044,5.49520490799813,2.99573227355399,Primates
Paroaria_coronata,Aves,endothermic,Red-crested cardinal,34,1,0,3.63204451755248,5.3242434707333,3.52636052461616,Passeroidea
Pavo_cristatus,Aves,endothermic,Blue peafowl,31,1,0,8.33202197767299,5.5717380674327,3.43398720448515,Galliformes
Pecari_tajacu,Mammalia,endothermic,Collared peccary,22,1,1,9.96489774872177,6.15200214586891,3.09104245335832,Cetartiodactyla
Pelecanus_occidentalis,Aves,endothermic,Brown pelican,23,2,1,8.13968560343693,5.2885321780732,3.13549421592915,Pelecaniformes
Peltophryne_lemur,Amphibia,ectothermic,Puerto rican crested toad,226,19,8,4.78749174267239,5.56434331111335,5.42053499927229,Bufonidae
Petaurus_breviceps,Mammalia,endothermic,Pygmy sugar glider,30,12,9,4.66626528644555,5.48537250779689,3.40119738166216,Diprotodontia
Phacochoerus_africanus,Mammalia,endothermic,Warthog,34,6,3,11.3205535733591,6.15481110113201,3.52636052461616,Cetartiodactyla
Phascolarctos_cinereus,Mammalia,endothermic,Koala,84,22,21,9.23503298366446,6.21656617503893,4.43081679884331,Diprotodontia
Phelsuma_grandis,Reptilia,ectothermic,Madagascar giant day gecko,21,2,2,4.77068462376079,5.2053210703372,3.04452243772342,Gekkonidae
Phelsuma_standingi,Reptilia,ectothermic,Standings day gecko,22,0,0,4.53259949418036,5.14813217221112,3.09104245335832,Gekkonidae
Phoca_vitulina,Mammalia,endothermic,Atlantic harbor seal,46,2,2,11.5129254649702,5.8405974885407,3.8286413964891,Carnivora
Phocoena_phocoena,Mammalia,endothermic,Common porpoise,76,0,0,10.868568447645,6.40709089056865,4.33073334028633,Cetartiodactyla
Phrynosoma_asio,Reptilia,ectothermic,Giant horned lizard,51,0,0,4.82430571491061,4.59427809538774,3.93182563272433,Phrynosomatidae
Phyllobates_bicolor,Amphibia,ectothermic,Bi-colour poison dart frog,50,0,0,3.75419892017696,4.99018632705045,3.91202300542815,Dendrobatidae
Phyllobates_terribilis,Amphibia,ectothermic,Golden poison arrow frog,37,0,0,3.80888224678964,4.99958062055942,3.61091791264422,Dendrobatidae
Phyllomedusa_bicolor,Amphibia,ectothermic,Giant waxy tree frog,70,0,0,4.84418708656,5.26875302899674,4.24849524204936,Hylidae
Phyllostomus_discolor,Mammalia,endothermic,Pale spear-nosed bat,23,0,0,3.52929738430675,6.30112509647039,3.13549421592915,Chiroptera
Pipa_pipa,Amphibia,ectothermic,Surinam toad,108,4,1,5.22305488216017,5.79111999363939,4.68213122712422,Pipidae
Pithecia_pithecia,Mammalia,endothermic,White-faced saki monkey,27,0,0,7.22657258099622,5.32477577082974,3.29583686600433,Primates
Pitta_sordida,Aves,endothermic,Hooded pitta,89,0,0,4.16666522464155,5.41038867552301,4.48863636973214,Eurylaimides
Pituophis_catenifer,Reptilia,ectothermic,Albino bull snake,25,9,8,7.93379687418543,5.12878529056539,3.2188758248682,Colubridae
Platalea_ajaja,Aves,endothermic,Ajaia ajaja,31,9,0,7.30653139799021,5.15182215046346,3.43398720448515,Pelecaniformes
Plica_plica,Reptilia,ectothermic,Collared tree lizard,33,1,1,5.17614973174074,4.64177277368711,3.49650756146648,Tropiduridae
Ploceus_cucullatus,Aves,endothermic,Village weaver,32,0,0,3.58573869549398,5.42074264842189,3.46573590279973,Passeroidea
Podargus_strigoides,Aves,endothermic,Tawny frogmouth,27,2,2,5.73019718117069,4.53576299441207,3.29583686600433,Caprimulgiformes
Pogona_vitticeps,Reptilia,ectothermic,Bearded dragon,59,10,6,5.52146091861741,4.9237560511489,4.07753744390572,Agamidae
Polihierax_semitorquatus,Aves,endothermic,African pygmy falcon,24,1,1,4.11903717532959,5.12357257755662,3.17805383034795,Falconiformes
Procavia_capensis,Mammalia,endothermic,Rock hyrax,148,12,8,8.0163178996494,5.38376084833796,4.99721227376411,Hyracoidea
Procyon_lotor,Mammalia,endothermic,Common raccoon,37,3,2,8.78722032864822,5.60310410369297,3.61091791264422,Carnivora
Pteroglossus_aracari,Aves,endothermic,Black-necked aracari,54,3,1,5.52210071260876,5.02254015239053,3.98898404656427,Piciformes
Pteropus_rodricensis,Mammalia,endothermic,Rodrigues fruit bat,61,0,0,5.53654655583593,6.36489418796828,4.11087386417331,Chiroptera
Ptilinopus_melanospilus,Aves,endothermic,Black naped fruit dove,27,0,0,4.52178857625337,4.55537471059257,3.29583686600433,Columbiformes
Ptilinopus_superbus,Aves,endothermic,Mount apo lorikeet,48,0,0,4.77068462376079,4.55625091735009,3.87120101090789,Columbiformes
Puma_concolor,Mammalia,endothermic,Mountain lion,23,7,6,10.851276952328,5.85785588795819,3.13549421592915,Carnivora
Pusa_hispida,Mammalia,endothermic,Ringed seal,42,3,3,11.4175152796545,5.84172416484461,3.73766961828337,Carnivora
Python_bivittatus,Reptilia,ectothermic,Indian rock python,24,8,5,9.12695876224146,5.55164765213456,3.17805383034795,Pythonidae
Ramphastos_swainsonii,Aves,endothermic,Chestnut-mandibled toucan,102,4,2,6.47955364449435,5.18287815644718,4.62497281328427,Piciformes
Ramphocelus_carbo,Aves,endothermic,Silver_beaked tanager,23,0,0,3.25501487102688,5.33468131499206,3.13549421592915,Passeroidea
Rana_sierrae,Amphibia,ectothermic,Sierra nevada yellow-legged frog,76,1,0,4.44265125714818,5.11210237257104,4.33073334028633,Ranidae
Rana_temporaria,Amphibia,ectothermic,Common frog,73,0,0,4.70048036542809,5.29753479991563,4.29045944114839,Ranidae
Rangifer_tarandus,Mammalia,endothermic,Caribou,34,4,2,11.3624978456422,6.25517945545313,3.52636052461616,Cetartiodactyla
Rattus_norvegicus,Mammalia,endothermic,Brown rat,354,122,33,5.87689509158576,5.49659150228808,5.86929691313377,Rodentia
Rhea_americana,Aves,endothermic,Greater rhea,21,3,2,10.0432494948708,6.1974708924918,3.04452243772342,Rheiformes
